PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
# L1 Data Cache:
# Load-Hits:             87566202   87.54%
# Load-Misses:           12467899   12.46%
# Load-Accesses:        100034101  100.00%
# 
# Store-Hits:               29134   90.20%
# Store-Misses:              3166    9.80%
# Store-Accesses:           32300  100.00%
# 
# Total-Hits:            87595336   87.54%
# Total-Misses:          12471065   12.46%
# Total-Accesses:       100066401  100.00%

#
# LOAD stats
#
NumItems 3305
DATA:START
#  counters
# iaddr          : dcache:miss        dcache:hit
0x00007f02aaf5c219:            1            0
0x00007f02aaf5c226:            1            0
0x00007f02aaf5c240:            1            0
0x00007f02aaf5c287:            0            1
0x00007f02aaf5c28a:            0            0
0x00007f02aaf5c2c2:            0            0
0x00007f02aaf5c2c9:            1            0
0x00007f02aaf5c2d1:            0            1
0x00007f02aaf5c2da:            0            0
0x00007f02aaf5c2e9:            0            1
0x00007f02aaf5c2fc:            0            1
0x00007f02aaf5c2fd:            0            1
0x00007f02aaf5c2fe:            0            1
0x00007f02aaf5c308:            0            0
0x00007f02aaf5c3b0:            0            0
0x00007f02aaf5c3b5:            0            0
0x00007f02aaf5c3b9:            0            0
0x00007f02aaf5c3c4:            0            0
0x00007f02aaf5c3d1:            0            0
0x00007f02aaf5c3d5:            0            0
0x00007f02aaf5c3d9:            0            1
0x00007f02aaf5c3e6:            0            0
0x00007f02aaf5c3ea:            0            0
0x00007f02aaf5c3f3:            0            1
0x00007f02aaf5c3f4:            0            1
0x00007f02aaf5c3f5:            0            1
0x00007f02aaf5c3f7:            0            1
0x00007f02aaf5c750:            0            0
0x00007f02aaf5c752:            0            0
0x00007f02aaf5c753:            0            0
0x00007f02aaf5c75b:            0            0
0x00007f02aaf5c760:            1            0
0x00007f02aaf5c770:            0            0
0x00007f02aaf5c808:            0            1
0x00007f02aaf5c809:            0            1
0x00007f02aaf5c80a:            0            1
0x00007f02aaf5c80c:            0            1
0x00007f02aaf9c990:            0            0
0x00007f02aaf9c992:            0            0
0x00007f02aaf9c994:            0            0
0x00007f02aaf9c999:            0            0
0x00007f02aaf9c99b:            0            0
0x00007f02aaf9c99e:            0            0
0x00007f02aaf9c9a7:            0            0
0x00007f02aaf9c9be:            0            0
0x00007f02aaf9c9c7:            0            0
0x00007f02aaf9c9cb:            0            0
0x00007f02aaf9c9d4:            0            0
0x00007f02aaf9ca18:            1            0
0x00007f02aaf9ca22:            1            0
0x00007f02aaf9ca32:            0            1
0x00007f02aaf9ca55:            0            0
0x00007f02aaf9ca5e:            0            0
0x00007f02aaf9ca67:            0            0
0x00007f02aaf9ca6e:            0            0
0x00007f02aaf9caad:            3            0
0x00007f02aaf9cabb:            0            0
0x00007f02aaf9cac2:            0            0
0x00007f02aaf9cac6:            0            0
0x00007f02aaf9cacc:            0            0
0x00007f02aaf9cadb:            0            0
0x00007f02aaf9caee:            0            0
0x00007f02aaf9caf6:            0            0
0x00007f02aaf9cafd:            0            0
0x00007f02aaf9cb30:            0            3
0x00007f02aaf9cb36:            0            0
0x00007f02aaf9cb4a:            3            0
0x00007f02aaf9cb69:            0            0
0x00007f02aaf9cb79:            0            0
0x00007f02aaf9cb82:            0            0
0x00007f02aaf9cb8b:            0            1
0x00007f02aaf9cb8c:            0            1
0x00007f02aaf9cb8d:            0            1
0x00007f02aaf9cb8f:            0            1
0x00007f02aaf9cb91:            0            1
0x00007f02aaf9cb93:            0            1
0x00007f02aaf9cb95:            0            1
0x00007f02aaf9cba0:            3            0
0x00007f02aaf9cba4:            0            3
0x00007f02aaf9cc20:            0            0
0x00007f02aaf9cc24:            0            0
0x00007f02aaf9cc26:            0            0
0x00007f02aaf9cc27:            0            1
0x00007f02aaf9cc30:            0            0
0x00007f02aaf9cc35:            0            0
0x00007f02aaf9cc3a:            0            1
0x00007f02aaf9cc50:            0            3
0x00007f02aaf9cc6a:            0            1
0x00007f02aaf9ccf0:            0            0
0x00007f02aaf9ccfa:            0            3
0x00007f02aaf9cd0e:            0            1
0x00007f02aaf9cd0f:            0            1
0x00007f02aaf9cd10:            0            1
0x00007f02aaf9cd12:            0            1
0x00007f02aaf9cd14:            0            1
0x00007f02aafab265:            1            0
0x00007f02aafab2a0:            0            1
0x00007f02aafab2a9:            0            1
0x00007f02aafab2b6:            0            1
0x00007f02aafab32c:            0            0
0x00007f02aafab35f:            0            1
0x00007f02aafab368:            0            1
0x00007f02aafab371:            0            1
0x00007f02aafab37a:            0            1
0x00007f02aafab430:            0            1
0x00007f02aafacfb4:            1            0
0x00007f02aafacfbe:            0            1
0x00007f02aafacfce:            0            1
0x00007f02aafacfeb:            0            1
0x00007f02aafad7e0:            1            0
0x00007f02aafad7e9:            0            0
0x00007f02aafad7f5:            0            1
0x00007f02aafad801:            0            0
0x00007f02aafad814:            0            0
0x00007f02aafad83a:            0            1
0x00007f02aafafad0:            1            0
0x00007f02aafafad9:            0            0
0x00007f02aafafae5:            0            1
0x00007f02aafafaf1:            0            0
0x00007f02aafafb04:            0            0
0x00007f02aafafb2a:            0            1
0x00007f02aafc215f:            0            0
0x00007f02aafc216c:            0            0
0x00007f02aafc2173:            0            0
0x00007f02aafc21fb:            2           12
0x00007f02aafc2214:            4           36
0x00007f02aafc2219:            0            0
0x00007f02aafc223c:            0            4
0x00007f02aafc223d:            0            4
0x00007f02aafc223e:            0            4
0x00007f02aafc2240:            0            4
0x00007f02aafc24a9:            0            0
0x00007f02aafc24ab:            0            0
0x00007f02aafc24b3:            0            0
0x00007f02aafc24b5:            0            0
0x00007f02aafc24b7:            0            0
0x00007f02aafc24ba:            0            0
0x00007f02aafc24bf:            0            0
0x00007f02aafc24c4:            0            0
0x00007f02aafc24ce:            0            0
0x00007f02aafc24ea:            0            0
0x00007f02aafc2502:            0            0
0x00007f02aafc2517:            0            0
0x00007f02aafc2550:            0            0
0x00007f02aafc255e:            0            0
0x00007f02aafc258c:            0            2
0x00007f02aafc258d:            0            2
0x00007f02aafc258e:            0            2
0x00007f02aafc2590:            0            2
0x00007f02aafc2592:            0            2
0x00007f02aafc2594:            0            2
0x00007f02aafc2596:            0            2
0x00007f02aafd1e52:            0            0
0x00007f02aafd1e5a:            0            0
0x00007f02aafd1e67:            0            0
